filename,timestamp,MD5
drugclas,20000818073806,559f6ee447276a0088944c84d3b43e18
drugclas,20001205093000,9fd7e43c275d2c9127a0ee786eae5f0b
drugclas,20010209175151,5b99486c230f9c6e5345688691ccb7bc
drugclas,20010309091643,5b99486c230f9c6e5345688691ccb7bc
drugclas,20010811214854,697921c87e262ca43bb5e1b03557db4d
drugclas,20011120170714,f9eee6037b52e4b7806db1619aa7104f
drugclas,20020611095717,ef99e2370422d1d3294137fd12d82e38
drugclas,20021004210816,bbc886a8dfb17a75c39d0f6b252dc9a9
drugclas,20021213203752,bbc886a8dfb17a75c39d0f6b252dc9a9
drugclas,20030112024134,bbc886a8dfb17a75c39d0f6b252dc9a9
drugclas,20030202103743,83b1af91e70929bfbd6467b2787fa0f0
drugclas,20030414175432,7a268daee078d28ed4ec9b62eef39ad2
drugclas,20030608060208,7a268daee078d28ed4ec9b62eef39ad2
drugclas,20030812213903,2f43b7a15a11a023e3f3626cf33d527e
drugclas,20031011150643,626914a2a5c4bb4ebc2055cecb1327a8
drugclas,20031222010346,626914a2a5c4bb4ebc2055cecb1327a8
drugclas,20040225060002,4b33a24d2e7fbe5fe2089ed46114e6db
drugclas,20040226053402,4b33a24d2e7fbe5fe2089ed46114e6db
drugclas,20040406125000,7ca794a0362efe89da1454747afa884b
drugclas,20040619225726,7ca794a0362efe89da1454747afa884b
drugclas,20040818041425,bd4082c61d76631fc0d16d8a9df08cd4
drugclas,20041016034757,0279b5f840ba617e5ffca32e79638acb
drugclas,20041118134312,0279b5f840ba617e5ffca32e79638acb
drugclas,20041205101334,0279b5f840ba617e5ffca32e79638acb
drugclas,20041211052707,0279b5f840ba617e5ffca32e79638acb
drugclas,20050211094056,b9bf9e5bc78ea4ded25219716076d416
formulat,20000818073744,aa84a76e7f68497e17cccbf2b9449c81
formulat,20010309130340,054b61729cc1065f331a5fd611293c4b
formulat,20010618054412,474bb9c888509e3bc7674d87231c53aa
formulat,20010802041241,b4d4f607bf0e72420534b115012521e4
formulat,20011120110445,795280ad05db398cabbce004f91fc335
formulat,20011227200817,795280ad05db398cabbce004f91fc335
formulat,20020209045634,85610c499b433531f0869e14dee652e4
formulat,20020215212348,85610c499b433531f0869e14dee652e4
formulat,20020419233757,5af4b12b6a9a9b55a814920ee52cdb31
formulat,20021024145417,d508ccce5818b022da8172ee22f3df20
