ndc,ADHD,ANTIDEPRESSANT,ANTIPSYCHOTIC,MOODSTABILIZER,ANTIANXIETY,SLEEP
576640641,1,0,0,0,0,0
576640642,1,0,0,0,0,0
576640643,1,0,0,0,0,0
576640644,1,0,0,0,0,0
576640645,1,0,0,0,0,0
576640646,1,0,0,0,0,0
576640647,1,0,0,0,0,0
578440105,1,0,0,0,0,0
578440110,1,0,0,0,0,0
578440112,1,0,0,0,0,0
578440115,1,0,0,0,0,0
578440117,1,0,0,0,0,0
578440120,1,0,0,0,0,0
578440130,1,0,0,0,0,0
761810002,1,0,0,0,0,0
459630745,1,0,0,0,0,0
459630748,1,0,0,0,0,0
459630749,1,0,0,0,0,0
131070035,1,0,0,0,0,0
131070036,1,0,0,0,0,0
217240701,1,0,0,0,0,0
243380854,1,0,0,0,0,0
243380855,1,0,0,0,0,0
243380856,1,0,0,0,0,0
459630303,1,0,0,0,0,0
459630304,1,0,0,0,0,0
459630305,1,0,0,0,0,0
459630743,1,0,0,0,0,0
520540215,1,0,0,0,0,0
520540216,1,0,0,0,0,0
647200215,1,0,0,0,0,0
647200216,1,0,0,0,0,0
647200131,1,0,0,0,0,0
647200133,1,0,0,0,0,0
647200134,1,0,0,0,0,0
680840815,1,0,0,0,0,0
680840832,1,0,0,0,0,0
680840874,1,0,0,0,0,0
680840880,1,0,0,0,0,0
680840887,1,0,0,0,0,0
680840898,1,0,0,0,0,0
680840909,1,0,0,0,0,0
606870133,1,0,0,0,0,0
606870137,1,0,0,0,0,0
606870141,1,0,0,0,0,0
606870154,1,0,0,0,0,0
680840936,1,0,0,0,0,0
680840943,1,0,0,0,0,0
466720646,1,0,0,0,0,0
466720836,1,0,0,0,0,0
466720837,1,0,0,0,0,0
466720838,1,0,0,0,0,0
466720839,1,0,0,0,0,0
466720840,1,0,0,0,0,0
466720841,1,0,0,0,0,0
466720842,1,0,0,0,0,0
606870150,1,0,0,0,0,0
001151486,1,0,0,0,0,0
001151487,1,0,0,0,0,0
001151488,1,0,0,0,0,0
001151489,1,0,0,0,0,0
001151490,1,0,0,0,0,0
001151491,1,0,0,0,0,0
